fold,model_type,task_type,score_type,score_val
2,deepwalk_sg,edge_pred,recall,0.6500415627597672
2,deepwalk_sg,clf_kinase_substrate,au_roc,0.6158107717506504
2,deepwalk_sg,clf_kinase_substrate,precision,0.6170212765957447
2,deepwalk_sg,clf_kinase_substrate,recall,0.5420560747663551
2,deepwalk_sg,clf_ec,au_roc,0.7333959899749374
2,deepwalk_sg,clf_ec,precision,0.7252747252747253
2,deepwalk_sg,clf_ec,recall,0.6947368421052632
2,deepwalk_sg,clf_ec_full,au_roc,0.5552083333333333
2,deepwalk_sg,clf_ec_full,precision,0.6486486486486487
2,deepwalk_sg,clf_ec_full,recall,0.6
2,deepwalk_cbow,edge_pred,au_roc,0.6877261680932056
2,deepwalk_cbow,edge_pred,precision,0.5495495495495496
2,deepwalk_cbow,edge_pred,recall,0.9634247714048213
2,deepwalk_cbow,clf_kinase_substrate,au_roc,0.6706330089604007
2,deepwalk_cbow,clf_kinase_substrate,precision,0.6470588235294118
2,deepwalk_cbow,clf_kinase_substrate,recall,0.514018691588785
2,deepwalk_cbow,clf_ec,au_roc,0.77437343358396
2,deepwalk_cbow,clf_ec,precision,0.7586206896551724
2,deepwalk_cbow,clf_ec,recall,0.6947368421052632
2,deepwalk_cbow,clf_ec_full,au_roc,0.732638888888889
2,deepwalk_cbow,clf_ec_full,precision,0.8
2,deepwalk_cbow,clf_ec_full,recall,0.6
2,distmult,edge_pred,au_roc,0.6394418497950192
2,distmult,edge_pred,precision,0.5492801771871539
2,distmult,edge_pred,recall,0.8246051537822111
2,distmult,clf_kinase_substrate,au_roc,0.8127468927642355
2,distmult,clf_kinase_substrate,precision,0.7777777777777778
2,distmult,clf_kinase_substrate,recall,0.719626168224299
2,distmult,clf_ec,au_roc,0.7776942355889724
2,distmult,clf_ec,precision,0.7682926829268293
2,distmult,clf_ec,recall,0.6631578947368421
2,distmult,clf_ec_full,au_roc,0.6982638888888888
2,distmult,clf_ec_full,precision,0.6666666666666666
2,distmult,clf_ec_full,recall,0.65
2,node2vec_sg,edge_pred,au_roc,0.637001290069368
2,node2vec_sg,edge_pred,precision,0.5520833333333334
2,node2vec_sg,edge_pred,recall,0.6608478802992519
2,node2vec_sg,clf_kinase_substrate,au_roc,0.6441853743135176
2,node2vec_sg,clf_kinase_substrate,precision,0.603448275862069
2,node2vec_sg,clf_kinase_substrate,recall,0.6542056074766355
2,node2vec_sg,clf_ec,au_roc,0.7087092731829574
2,node2vec_sg,clf_ec,precision,0.6704545454545454
2,node2vec_sg,clf_ec,recall,0.6210526315789474
2,node2vec_sg,clf_ec_full,au_roc,0.6868055555555557
2,node2vec_sg,clf_ec_full,precision,0.6756756756756757
2,node2vec_sg,clf_ec_full,recall,0.625
2,node2vec_cbow,edge_pred,au_roc,0.7005743468980637
2,node2vec_cbow,edge_pred,precision,0.5328237410071942
2,node2vec_cbow,edge_pred,recall,0.9850374064837906
2,node2vec_cbow,clf_kinase_substrate,au_roc,0.7115329029771654
2,node2vec_cbow,clf_kinase_substrate,precision,0.7127659574468085
2,node2vec_cbow,clf_kinase_substrate,recall,0.6261682242990654
2,node2vec_cbow,clf_ec,au_roc,0.6607769423558897
2,node2vec_cbow,clf_ec,precision,0.6421052631578947
2,node2vec_cbow,clf_ec,recall,0.6421052631578947
2,node2vec_cbow,clf_ec_full,au_roc,0.7430555555555556
2,node2vec_cbow,clf_ec_full,precision,0.7037037037037037
2,node2vec_cbow,clf_ec_full,recall,0.475
2,transe,edge_pred,au_roc,0.6372134225257029
2,transe,edge_pred,precision,0.5424929178470255
2,transe,edge_pred,recall,0.9551122194513716
2,transe,clf_kinase_substrate,au_roc,0.6023701705366606
2,transe,clf_kinase_substrate,precision,0.625
2,transe,clf_kinase_substrate,recall,0.5607476635514018
2,transe,clf_ec,au_roc,0.5156015037593985
2,transe,clf_ec,precision,0.5384615384615384
2,transe,clf_ec,recall,0.4421052631578947
2,transe,clf_ec_full,au_roc,0.6048611111111111
2,transe,clf_ec_full,precision,0.6052631578947368
2,transe,clf_ec_full,recall,0.575
3,triple_walk_cbow,edge_pred,au_roc,0.6973377722222569
3,triple_walk_cbow,edge_pred,precision,0.5337807606263982
3,triple_walk_cbow,edge_pred,recall,0.9916874480465503
3,triple_walk_cbow,clf_kinase_substrate,au_roc,0.8863088929569323
3,triple_walk_cbow,clf_kinase_substrate,precision,0.8365384615384616
3,triple_walk_cbow,clf_kinase_substrate,recall,0.8130841121495327
3,triple_walk_cbow,clf_ec,au_roc,0.8462752525252526
3,triple_walk_cbow,clf_ec,precision,0.8767123287671232
3,triple_walk_cbow,clf_ec,recall,0.6464646464646465
3,triple_walk_cbow,clf_ec_full,au_roc,0.6967787114845939
3,triple_walk_cbow,clf_ec_full,precision,0.5531914893617021
3,triple_walk_cbow,clf_ec_full,recall,0.7647058823529411
3,triple_walk_sg,edge_pred,au_roc,0.8215430528693506
3,triple_walk_sg,edge_pred,precision,0.6428169014084507
3,triple_walk_sg,edge_pred,recall,0.9484621778886118
3,triple_walk_sg,clf_kinase_substrate,au_roc,0.6802196743424221
3,triple_walk_sg,clf_kinase_substrate,precision,0.6161616161616161
3,triple_walk_sg,clf_kinase_substrate,recall,0.5700934579439252
3,triple_walk_sg,clf_ec,au_roc,0.684469696969697
3,triple_walk_sg,clf_ec,precision,0.7272727272727273
3,triple_walk_sg,clf_ec,recall,0.48484848484848486
3,triple_walk_sg,clf_ec_full,au_roc,0.6246498599439776
3,triple_walk_sg,clf_ec_full,precision,0.5333333333333333
3,triple_walk_sg,clf_ec_full,recall,0.7058823529411765
3,deepwalk_sg,edge_pred,au_roc,0.6156850876411077
3,deepwalk_sg,edge_pred,precision,0.5373543522960932
3,deepwalk_sg,edge_pred,recall,0.6517040731504572
3,deepwalk_sg,clf_kinase_substrate,au_roc,0.5979381443298969
3,deepwalk_sg,clf_kinase_substrate,precision,0.5729166666666666
3,deepwalk_sg,clf_kinase_substrate,recall,0.514018691588785
3,deepwalk_sg,clf_ec,au_roc,0.7226641414141414
3,deepwalk_sg,clf_ec,precision,0.7215189873417721
3,deepwalk_sg,clf_ec,recall,0.5757575757575758
3,deepwalk_sg,clf_ec_full,au_roc,0.5213585434173669
3,deepwalk_sg,clf_ec_full,precision,0.48
3,deepwalk_sg,clf_ec_full,recall,0.7058823529411765
3,deepwalk_cbow,edge_pred,au_roc,0.7160848916777052
3,deepwalk_cbow,edge_pred,precision,0.5414543770264011
3,deepwalk_cbow,edge_pred,recall,0.971737323358271
3,deepwalk_cbow,clf_kinase_substrate,au_roc,0.6820984680605068
3,deepwalk_cbow,clf_kinase_substrate,precision,0.6829268292682927
3,deepwalk_cbow,clf_kinase_substrate,recall,0.5233644859813084
3,deepwalk_cbow,clf_ec,au_roc,0.7029671717171716
3,deepwalk_cbow,clf_ec,precision,0.7464788732394366
3,deepwalk_cbow,clf_ec,recall,0.5353535353535354
3,deepwalk_cbow,clf_ec_full,au_roc,0.7738095238095237
3,deepwalk_cbow,clf_ec_full,precision,0.6216216216216216
3,deepwalk_cbow,clf_ec_full,recall,0.6764705882352942
3,distmult,edge_pred,au_roc,0.6236946425844505
3,distmult,edge_pred,precision,0.5383655645664379
3,distmult,edge_pred,recall,0.7173732335827099
3,distmult,clf_kinase_substrate,au_roc,0.7946815685518837
3,distmult,clf_kinase_substrate,precision,0.7619047619047619
3,distmult,clf_kinase_substrate,recall,0.5981308411214953
3,distmult,clf_ec,au_roc,0.7613005050505051
3,distmult,clf_ec,precision,0.7794117647058824
3,distmult,clf_ec,recall,0.5353535353535354
3,distmult,clf_ec_full,au_roc,0.7051820728291317
3,distmult,clf_ec_full,precision,0.5641025641025641
3,distmult,clf_ec_full,recall,0.6470588235294118
3,node2vec_sg,edge_pred,au_roc,0.6352209667021141
3,node2vec_sg,edge_pred,precision,0.5367697594501718
3,node2vec_sg,edge_pred,recall,0.6492103075644223
3,node2vec_sg,clf_kinase_substrate,au_roc,0.5654687349455632
3,node2vec_sg,clf_kinase_substrate,precision,0.5636363636363636
3,node2vec_sg,clf_kinase_substrate,recall,0.5794392523364486
3,node2vec_sg,clf_ec,au_roc,0.7330808080808081
3,node2vec_sg,clf_ec,precision,0.6923076923076923
3,node2vec_sg,clf_ec,recall,0.6363636363636364
3,node2vec_sg,clf_ec_full,au_roc,0.6701680672268907
3,node2vec_sg,clf_ec_full,precision,0.5897435897435898
3,node2vec_sg,clf_ec_full,recall,0.6764705882352942
3,node2vec_cbow,edge_pred,au_roc,0.72666214762346
3,node2vec_cbow,edge_pred,precision,0.5323516287371709
3,node2vec_cbow,edge_pred,recall,0.9916874480465503
3,node2vec_cbow,clf_kinase_substrate,au_roc,0.7208305231717892
3,node2vec_cbow,clf_kinase_substrate,precision,0.7411764705882353
3,node2vec_cbow,clf_kinase_substrate,recall,0.5887850467289719
3,node2vec_cbow,clf_ec,au_roc,0.7258838383838384
3,node2vec_cbow,clf_ec,precision,0.7638888888888888
3,node2vec_cbow,clf_ec,recall,0.5555555555555556
3,node2vec_cbow,clf_ec_full,au_roc,0.7016806722689075
3,node2vec_cbow,clf_ec_full,precision,0.6444444444444445
3,node2vec_cbow,clf_ec_full,recall,0.8529411764705882
3,transe,edge_pred,au_roc,0.6044835265673445
3,transe,edge_pred,precision,0.5365740740740741
3,transe,edge_pred,recall,0.9634247714048213
3,transe,clf_kinase_substrate,au_roc,0.5469698429521148
3,transe,clf_kinase_substrate,precision,0.5974025974025974
3,transe,clf_kinase_substrate,recall,0.42990654205607476
3,transe,clf_ec,au_roc,0.5045454545454546
3,transe,clf_ec,precision,0.5432098765432098
3,transe,clf_ec,recall,0.4444444444444444
3,transe,clf_ec_full,au_roc,0.501750700280112
3,transe,clf_ec_full,precision,0.4411764705882353
3,transe,clf_ec_full,recall,0.4411764705882353
4,triple_walk_cbow,edge_pred,au_roc,0.7621411281991751
4,triple_walk_cbow,edge_pred,precision,0.5267618198037467
4,triple_walk_cbow,edge_pred,recall,0.9817123857024106
4,triple_walk_cbow,clf_kinase_substrate,au_roc,0.851063829787234
4,triple_walk_cbow,clf_kinase_substrate,precision,0.8913043478260869
4,triple_walk_cbow,clf_kinase_substrate,recall,0.7454545454545455
4,triple_walk_cbow,clf_ec,au_roc,0.7708020050125313
4,triple_walk_cbow,clf_ec,precision,0.717948717948718
4,triple_walk_cbow,clf_ec,recall,0.6666666666666666
4,triple_walk_cbow,clf_ec_full,au_roc,0.7508662508662509
4,triple_walk_cbow,clf_ec_full,precision,0.6585365853658537
4,triple_walk_cbow,clf_ec_full,recall,0.7297297297297297
4,triple_walk_sg,edge_pred,au_roc,0.7875576368029773
4,triple_walk_sg,edge_pred,precision,0.6074666666666667
4,triple_walk_sg,edge_pred,recall,0.9467996674979219
4,triple_walk_sg,clf_kinase_substrate,au_roc,0.687669245647969
4,triple_walk_sg,clf_kinase_substrate,precision,0.6767676767676768
4,triple_walk_sg,clf_kinase_substrate,recall,0.6090909090909091
4,triple_walk_sg,clf_ec,au_roc,0.6844611528822055
4,triple_walk_sg,clf_ec,precision,0.625
4,triple_walk_sg,clf_ec,recall,0.5952380952380952
4,triple_walk_sg,clf_ec_full,au_roc,0.5817740817740817
4,triple_walk_sg,clf_ec_full,precision,0.59375
4,triple_walk_sg,clf_ec_full,recall,0.5135135135135135
4,deepwalk_sg,edge_pred,au_roc,0.6015692964872386
4,deepwalk_sg,edge_pred,precision,0.5397520058351568
4,deepwalk_sg,edge_pred,recall,0.6151288445552785
4,deepwalk_sg,clf_kinase_substrate,au_roc,0.5740812379110252
4,deepwalk_sg,clf_kinase_substrate,precision,0.5875
4,deepwalk_sg,clf_kinase_substrate,recall,0.42727272727272725
4,deepwalk_sg,clf_ec,au_roc,0.699310776942356
4,deepwalk_sg,clf_ec,precision,0.6296296296296297
4,deepwalk_sg,clf_ec,recall,0.6071428571428571
4,deepwalk_sg,clf_ec_full,au_roc,0.6625086625086626
4,deepwalk_sg,clf_ec_full,precision,0.6410256410256411
4,deepwalk_sg,clf_ec_full,recall,0.6756756756756757
4,deepwalk_cbow,edge_pred,au_roc,0.667379417900248
4,deepwalk_cbow,edge_pred,precision,0.5438180956892468
4,deepwalk_cbow,edge_pred,recall,0.9542809642560266
4,deepwalk_cbow,clf_kinase_substrate,au_roc,0.684477756286267
4,deepwalk_cbow,clf_kinase_substrate,precision,0.7032967032967034
4,deepwalk_cbow,clf_kinase_substrate,recall,0.5818181818181818
4,deepwalk_cbow,clf_ec,au_roc,0.6942982456140351
4,deepwalk_cbow,clf_ec,precision,0.5977011494252874
4,deepwalk_cbow,clf_ec,recall,0.6190476190476191
4,deepwalk_cbow,clf_ec_full,au_roc,0.7085932085932086
4,deepwalk_cbow,clf_ec_full,precision,0.6052631578947368
4,deepwalk_cbow,clf_ec_full,recall,0.6216216216216216
4,distmult,edge_pred,au_roc,0.6407571401228157
4,distmult,edge_pred,precision,0.5564880568108457
4,distmult,edge_pred,recall,0.7165419783873649
4,distmult,clf_kinase_substrate,au_roc,0.7711798839458414
4,distmult,clf_kinase_substrate,precision,0.7976190476190477
4,distmult,clf_kinase_substrate,recall,0.6090909090909091
4,distmult,clf_ec,au_roc,0.6484335839598999
4,distmult,clf_ec,precision,0.5866666666666667
4,distmult,clf_ec,recall,0.5238095238095238
4,distmult,clf_ec_full,au_roc,0.7096327096327096
4,distmult,clf_ec_full,precision,0.6410256410256411
4,distmult,clf_ec_full,recall,0.6756756756756757
4,node2vec_sg,edge_pred,au_roc,0.6179218067328215
4,node2vec_sg,edge_pred,precision,0.5421428571428571
4,node2vec_sg,edge_pred,recall,0.6309226932668329
4,node2vec_sg,clf_kinase_substrate,au_roc,0.6449226305609285
4,node2vec_sg,clf_kinase_substrate,precision,0.6404494382022472
4,node2vec_sg,clf_kinase_substrate,recall,0.5181818181818182
4,node2vec_sg,clf_ec,au_roc,0.6706140350877192
